code,observed_at,start_at,status,chance_this,chance_next,news
59949,1657988027,1657886405,d,,50.0,Groin Injury - 50% chance of playing
59949,1659947328,1659947328,d,25.0,25.0,Lack of match fitness - 25% chance of playing
59949,1660639221,1660639221,a,75.0,100.0,
59949,1681291216,1680993008,d,100.0,75.0,Knock - 75% chance of playing
59949,1682014831,1682014831,i,0.0,0.0,Hamstring injury - Unknown return date
59949,1682690190,1682690190,d,25.0,75.0,Hamstring injury - 75% chance of playing
59949,1683287633,1683287633,i,75.0,0.0,Knee injury - Expected back 01 Jul
60232,1657988027,1657988027,a,,,
60232,1660639221,1659956406,d,50.0,50.0,Thigh injury - 50% chance of playing
60232,1663194349,1663194349,a,100.0,100.0,
60232,1665995118,1665700207,d,75.0,75.0,Dead leg - 75% chance of playing
60232,1666688392,1666688392,d,50.0,50.0,Dead leg - 50% chance of playing
60232,1667216228,1667216228,a,50.0,100.0,
60252,1657988027,1657035004,i,,0.0,Knee injury - Expected back 01 Oct
60252,1663775227,1663775227,i,0.0,0.0,Knee injury - Expected back 26 Dec
60252,1669176618,1669176618,d,0.0,75.0,Knee injury - 75% chance of playing
60252,1672318255,1672318255,i,0.0,0.0,Knee injury - Expected back 14 Jan
60252,1673585957,1673585957,i,0.0,0.0,Knee injury - Expected back 04 Feb
60252,1674555185,1674555185,d,0.0,50.0,Knee injury - 50% chance of playing
60252,1675962528,1675962528,d,25.0,25.0,Lack of match fitness - 25% chance of playing
60252,1676634450,1676634450,i,0.0,0.0,Lack of match fitness - Unknown return date
60252,1685259116,1685259116,i,0.0,0.0,Lack of match fitness - Expected back 01 Jul
60307,1657988027,1657988027,a,,,
60307,1683287633,1683243009,d,,75.0,Muscle injury - 75% chance of playing
60307,1683613947,1683613947,a,75.0,100.0,
60689,1657988027,1657988027,a,,,
60689,1664875640,1664875640,a,75.0,100.0,
60689,1679046737,1678568409,n,100.0,0.0,Ineligible to face his parent club on 17/3 - Expected back 01 Apr
60689,1679914802,1679914802,a,0.0,100.0,
60689,1680813728,1680082210,i,0.0,0.0,Thigh injury - Expected back 01 Jul
60706,1657988027,1657988027,a,,,
60914,1657988027,1657988027,a,,,
60914,1660639221,1660375806,i,50.0,0.0,Groin Injury - Expected back 31 Aug
60914,1661766052,1661766052,i,0.0,0.0,Groin Injury - Expected back 03 Sep
60914,1662109894,1662109894,a,75.0,100.0,
60914,1665555681,1665527407,d,100.0,25.0,Calf injury - 25% chance of playing
60914,1666688392,1666688392,i,0.0,0.0,Calf injury - Expected back 06 Nov
60914,1668109477,1668109477,i,0.0,0.0,Calf injury - Expected back 26 Dec
60914,1669176618,1669176618,a,25.0,100.0,
61256,1661766052,1661766052,a,,,
61256,1674195851,1674084609,s,,0.0,Suspended until 04 Feb
61256,1674555185,1674555185,a,0.0,100.0,
61256,1675962528,1675530010,s,100.0,0.0,Suspended until 05 Mar
61256,1677262181,1677262181,a,0.0,100.0,
61256,1679046737,1678651209,s,100.0,0.0,Suspended until 15 Apr
61256,1681291216,1681291216,a,0.0,100.0,
61366,1657988027,1657988027,a,,,
61366,1677262181,1677020408,d,,75.0,Illness - 75% chance of playing
61366,1677760822,1677760822,a,75.0,100.0,
61366,1683287633,1683153009,d,100.0,75.0,Muscle injury - 75% chance of playing
61366,1683613947,1683613947,a,75.0,100.0,
61558,1657988027,1657988027,a,,,
61558,1659947328,1659835806,d,,25.0,Hamstring injury - 25% chance of playing
61558,1660639221,1660639221,i,0.0,0.0,Hamstring injury - Expected back 01 Oct
61558,1661766052,1661766052,i,0.0,0.0,Hamstring injury - Expected back 03 Sep
61558,1662109894,1662109894,i,0.0,0.0,Hamstring injury - Expected back 10 Sep
61558,1662536127,1662536127,a,0.0,100.0,
61558,1676634450,1676025009,d,50.0,50.0,Hip injury - 50% chance of playing
61558,1677262181,1677262181,i,0.0,0.0,Hip injury - Expected back 18 Mar
61558,1677760822,1677760822,i,0.0,0.0,Hip injury - Expected back 01 Apr
61558,1679914802,1679914802,i,0.0,0.0,Hip injury - Unknown return date
61558,1680813728,1680813728,d,0.0,50.0,Lack of match fitness - 50% chance of playing
61558,1681291216,1681291216,a,50.0,100.0,
61558,1683287633,1683244809,d,100.0,25.0,Hip injury - 25% chance of playing
61558,1683613947,1683613947,i,0.0,0.0,Hip injury - Expected back 01 Jul
61810,1657988027,1657988027,a,,,
61810,1661766052,1661630406,d,,75.0,Foot injury - 75% chance of playing
61810,1662109894,1662109894,d,50.0,50.0,Foot injury - 50% chance of playing
61810,1662536127,1662536127,a,100.0,100.0,
61810,1664875640,1664647207,d,100.0,25.0,Hamstring injury - 25% chance of playing
61810,1665555681,1665555681,i,0.0,0.0,Hamstring injury - Unknown return date
61810,1666688392,1666688392,i,0.0,0.0,Hamstring injury - Expected back 26 Dec
61810,1669176618,1669176618,d,0.0,75.0,Hamstring injury - 75% chance of playing
61810,1672318255,1672318255,a,100.0,100.0,
61810,1673585957,1673049607,d,100.0,50.0,Hamstring injury - 50% chance of playing
61810,1674195851,1674195851,i,0.0,0.0,Hamstring injury - Unknown return date
61810,1676634450,1676634450,d,0.0,50.0,Hamstring injury - 50% chance of playing
61810,1677262181,1677262181,i,0.0,0.0,Hamstring injury - Expected back 06 Mar
61810,1677760822,1677760822,d,0.0,75.0,Hamstring injury - 75% chance of playing
61810,1678185619,1678185619,a,100.0,100.0,
61810,1681291216,1680993008,d,100.0,50.0,Hamstring injury - 50% chance of playing
61810,1682014831,1682014831,i,0.0,0.0,Hamstring injury - Expected back 01 Jul
61933,1657988027,1657988027,a,,,
61933,1662109894,1662109894,a,0.0,100.0,
61933,1673585957,1673447408,d,100.0,75.0,Illness - 75% chance of playing
61933,1674555185,1674555185,a,100.0,100.0,
61933,1679914802,1679355008,d,100.0,75.0,Calf injury - 75% chance of playing
